X-NA	按
W-WU	伍
-WEO	六
W-WEO	陆
-XGWI	七
W-XGWI	柒
-BW	八
W-BW	捌
-GW	九
W-GW	玖
-XZW	十
W-XZW	拾
-WO	〇
W-WO	零
W-WIO	佰
W-WINA	仟
-XZI	是
